WD13CD,Ward name,Borough name,Percentage of households with access to: Open Space,Percentage of households with access to: Local Parks,Percentage of households with access to: District Parks,Percentage of households with access to: Metropolitan Parks,Percentage of households with access to: Regional Parks
E05000026,Abbey,Barking and Dagenham,70.7,25.619999999999997,97.98,0,0
E05000027,Alibon,Barking and Dagenham,8.01,19.59,19.06,100,0
E05000028,Becontree,Barking and Dagenham,39.17,32.67,70.98,99.1,0
E05000029,Chadwell Heath,Barking and Dagenham,63.11,63.959999999999994,0,8.95,0
E05000030,Eastbrook,Barking and Dagenham,56.68,12.35,97.03,100,0
E05000031,Eastbury,Barking and Dagenham,77.42999999999999,13.530000000000001,65.34,43.11,0
E05000032,Gascoigne,Barking and Dagenham,87.33,51.7,6.13,0,0
E05000033,Goresbrook,Barking and Dagenham,59.03,82.88,6.32,100,0
E05000034,Heath,Barking and Dagenham,59.260000000000005,3.01,68.45,100,0
E05000035,Longbridge,Barking and Dagenham,62.739999999999995,0.31,100,17.22,0
E05000036,Mayesbrook,Barking and Dagenham,41.93,0,91.94,100,0
E05000037,Parsloes,Barking and Dagenham,55.53,27,4.130000000000001,100,0
E05000038,River,Barking and Dagenham,28.9,60.440000000000005,54.13,94.65,0
E05000039,Thames,Barking and Dagenham,92.47,30.65,4.81,5.92,0
E05000040,Valence,Barking and Dagenham,86.38,38.05,12.13,95.82,0
E05000041,Village,Barking and Dagenham,25.380000000000003,35.83,67.14,100,0
E05000042,Whalebone,Barking and Dagenham,29.659999999999997,4.8500000000000005,18.29,24.490000000000002,0
E05000043,Brunswick Park,Barnet,26.69,23.380000000000003,99.94,24.67,0
E05000044,Burnt Oak,Barnet,25.78,68.32000000000001,12.93,6.569999999999999,0
E05000045,Childs Hill,Barnet,0.86,39.51,22.900000000000002,97.51,0
E05000046,Colindale,Barnet,32.9,52.57000000000001,34.57,29.270000000000003,0
E05000047,Coppetts,Barnet,25.979999999999997,38.019999999999996,9.8,38,0
E05000048,East Barnet,Barnet,46.099999999999994,36.38,98.35000000000001,90.55,0
E05000049,East Finchley,Barnet,60.79,30.520000000000003,0.01,40.37,0
E05000050,Edgware,Barnet,32.12,24,10.14,0,0
E05000051,Finchley Church End,Barnet,49.36000000000001,39.51,8.43,0,0
E05000052,Garden Suburb,Barnet,23.2,58.96,61.71,76.92999999999999,0
E05000053,Golders Green,Barnet,22.79,33.14,3.73,45.910000000000004,0
E05000054,Hale,Barnet,16.93,21.250000000000004,13.69,0,0
E05000055,Hendon,Barnet,44.50999999999999,14.14,73.07,0,0
E05000056,High Barnet,Barnet,38.93,27.49,75.78,0,0
E05000057,Mill Hill,Barnet,56.84,10.690000000000001,68.49,0,0
E05000058,Oakleigh,Barnet,30.320000000000004,21.060000000000002,65.09,0.32,0
E05000059,Totteridge,Barnet,38.89,39.5,74.67999999999999,0,0
E05000060,Underhill,Barnet,39.61,22.59,95.21000000000001,0,0
E05000061,West Finchley,Barnet,27.98,25.82,2.5,0,0
E05000062,West Hendon,Barnet,44.96,47.06,60.51,19.75,0
E05000063,Woodhouse,Barnet,20.229999999999997,41.47,8.27,0,0
E05000064,Barnehurst,Bexley,32.93000000000001,66.43,21.02,20.380000000000003,0
E05000065,Belvedere,Bexley,61.230000000000004,48.81999999999999,0,91.41999999999999,0
E05000066,Blackfen and Lamorbey,Bexley,70.99,27.950000000000003,34.97,91.19999999999999,0
E05000067,Blendon and Penhill,Bexley,41.17,55.510000000000005,0,100,0
E05000068,Brampton,Bexley,10.780000000000001,12.19,0,81.53999999999999,0
E05000069,Christchurch,Bexley,24.45,28.58,16.14,89.89,0
E05000070,Colyers,Bexley,56.04,40.949999999999996,0,18.87,0
E05000071,Crayford,Bexley,86.35,21.85,24.38,44.84,0
E05000072,Cray Meadows,Bexley,56.47,25.259999999999998,0,100,0
E05000073,Danson Park,Bexley,0,43.74,3.81,100,0
E05000074,East Wickham,Bexley,43.98,8.97,68.19999999999999,93.25999999999999,0
E05000075,Erith,Bexley,78.32000000000001,46.77,0,87.15,0
E05000076,Falconwood and Welling,Bexley,6.16,4.66,15.9,99.98,0
E05000077,Lesnes Abbey,Bexley,44.87,34.46,30.509999999999998,100,0
E05000078,Longlands,Bexley,54.87,58.42,0,77.94,0
E05000079,North End,Bexley,47.43000000000001,50.17,0,99.13,0
E05000080,Northumberland Heath,Bexley,85.06,31.240000000000002,0,72.44999999999999,0
E05000081,St. Mary's,Bexley,71.85999999999999,23.32,25.180000000000003,99.44000000000001,0
E05000082,St. Michael's,Bexley,34.14,0,48.64,100,0
E05000083,Sidcup,Bexley,45.87,59.709999999999994,0,90.86,0
E05000084,Thamesmead East,Bexley,73.17,45.98,52.739999999999995,55.44,0
E05000085,Alperton,Brent,56.589999999999996,39.660000000000004,0.62,40.10999999999999,0
E05000086,Barnhill,Brent,15.14,60.650000000000006,0.06999999999999999,100,0
E05000087,Brondesbury Park,Brent,3.7600000000000002,39.61,0.22,6.890000000000001,0
E05000088,Dollis Hill,Brent,0.29,21.72,99.05000000000001,0,0
E05000089,Dudden Hill,Brent,32.76,37.08,84.86,5.2,0
E05000090,Fryent,Brent,43.65,59.870000000000005,26.44,100,0
E05000091,Harlesden,Brent,18.38,18.58,0,34.28,0
E05000092,Kensal Green,Brent,8.63,34.47,0,100,0
E05000093,Kenton,Brent,23.86,43.93,25.3,80.02,0
