Ward_GSS_CODE,Ward_NAME,BOROUGH_LB_GSS_CD,BOROUGH_Name,Total area of ward (sq m),All Open Space,% open space,Open Space with access,% Open Space with access,% of open space that has access
E05000026,Abbey,E09000002,Barking and Dagenham,1282926.209999485,281071.18863884086,21.9086013246978,87115.54580785273,6.79037852129376,30.994121535448745
E05000027,Alibon,E09000002,Barking and Dagenham,1364441.7599997998,281373.12558136054,20.6218494500932,234904.66590638141,17.2161738809882,83.48511089004393
E05000028,Becontree,E09000002,Barking and Dagenham,1288084.574999793,24286.160969587116,1.8854476981522,8815.454972818063,0.684384794594679,36.29826461192204
E05000029,Chadwell Heath,E09000002,Barking and Dagenham,3384193.0649995473,1894285.3982289708,55.974507418631,1135815.2465417695,33.5623655248499,59.96009089251705
E05000030,Eastbrook,E09000002,Barking and Dagenham,3450575.5699999677,1740269.4557480249,50.4341788911476,1216682.219884415,35.2602687639274,69.91343874167147
E05000031,Eastbury,E09000002,Barking and Dagenham,1439218.440000085,246234.9519636981,17.1089353165656,164664.81453500016,11.4412663122209,66.8730467473506
E05000032,Gascoigne,E09000002,Barking and Dagenham,1138715.375000138,236677.3571667542,20.7845930917307,176571.2389994809,15.5061785302986,74.60419581881476
E05000033,Goresbrook,E09000002,Barking and Dagenham,1277823.3350001173,179899.16936947772,14.0785634791574,124456.20354807709,9.73970345815177,69.1810884865557
E05000034,Heath,E09000002,Barking and Dagenham,2001300.1449998778,727070.1307515039,36.3298894755013,536897.7587842462,26.8274481529245,73.84401257541766
E05000035,Longbridge,E09000002,Barking and Dagenham,1645285.2099998787,465985.8928764844,28.3224993480928,313717.1853000211,19.0676475661046,67.32332246443691
E05000036,Mayesbrook,E09000002,Barking and Dagenham,1856440.0599998303,830891.286904199,44.757237511039,719990.832527021,38.7834139135678,86.65283219055289
E05000037,Parsloes,E09000002,Barking and Dagenham,1243845.0599999249,216439.7432152034,17.4008604588756,170374.714230635,13.6974225898076,78.71692679899066
E05000038,River,E09000002,Barking and Dagenham,3543674.040000899,725951.1166811135,20.4858321754934,510530.98432944505,14.4068268855031,70.32580742674229
E05000039,Thames,E09000002,Barking and Dagenham,7888493.084999777,3457706.216370029,43.8322779663073,3025594.6316808946,38.3545323432451,87.50294103520531
E05000040,Valence,E09000002,Barking and Dagenham,1292830.000000219,152413.13395923158,11.7891086963643,133968.78826599542,10.3624442707836,87.89845388379078
E05000041,Village,E09000002,Barking and Dagenham,2147502.445000206,1010267.9647573971,47.0438563229343,906970.961041829,42.2337568533823,89.77528662503185
E05000042,Whalebone,E09000002,Barking and Dagenham,1553976.2799997428,249171.690679115,16.03445907676,2252.434810406663,0.144946537434087,0.9039689879165943
E05000043,Brunswick Park,E09000003,Barnet,3175248.52500001,890120.3005669822,28.0330907504942,524693.69749984,16.5244922836343,58.94638030001389
E05000044,Burnt Oak,E09000003,Barnet,2067226.7849997377,390838.0041078176,18.9063922228478,279269.6017505257,13.5093838652328,71.45405482970526
E05000045,Childs Hill,E09000003,Barnet,3093001.0799998725,468087.40221287654,15.1337613568792,207270.85447230193,6.70128619781506,44.28037445409381
E05000046,Colindale,E09000003,Barnet,2636244.72000017,523231.8569056526,19.8476208576577,158622.24388502774,6.01697720555388,30.31586127479045
E05000047,Coppetts,E09000003,Barnet,2720602.880000426,1097579.4492923862,40.3432436744394,389700.3727135618,14.3240447026764,35.50543634584295
E05000048,East Barnet,E09000003,Barnet,3749402.8850000566,1306528.7413116142,34.8463150369499,743569.7608208312,19.8316847676085,56.911856380164075
E05000049,East Finchley,E09000003,Barnet,2509887.3000003155,948091.7594577658,37.7742761381216,687091.9893407199,27.375412009162,72.47104328105148
E05000050,Edgware,E09000003,Barnet,5556464.8449999895,3000299.7496564854,53.9965577638149,354489.63712800655,6.37976927806888,11.81514070947722
E05000051,Finchley Church End,E09000003,Barnet,2725662.395000245,373996.26494489907,13.721298192723,218780.79565066352,8.02670191480717,58.49812315181718
E05000052,Garden Suburb,E09000003,Barnet,4727041.104999792,1145197.878290679,24.2265267606707,730752.047260989,15.4589738280057,63.810111869200156
E05000053,Golders Green,E09000003,Barnet,2972918.439999835,433301.02557982143,14.5749382071795,226346.81534948864,7.61362344503138,52.23777512333436
E05000054,Hale,E09000003,Barnet,5423194.445000292,2645396.0403112746,48.7792954344481,2288766.249553519,42.2032857712406,86.51885066268594
E05000055,Hendon,E09000003,Barnet,2838694.465000156,464498.5827355964,16.3631059440407,336544.1914315043,11.8555975495406,72.45322245107329
E05000056,High Barnet,E09000003,Barnet,8306622.724999987,3980023.1181605435,47.9138544017665,1553053.9788722186,18.6965753747077,39.02123009752761
E05000057,Mill Hill,E09000003,Barnet,9389235.465000028,5542637.246833385,59.0318271119572,1484350.5805703627,15.8090675870632,26.780583221793936
E05000058,Oakleigh,E09000003,Barnet,3318592.6450003493,506535.2620691023,15.2635564606649,55651.470325680886,1.67695997306337,10.98669223902695
E05000059,Totteridge,E09000003,Barnet,8774457.494999915,5065871.281688299,57.734296218029,1038657.9696590732,11.8372898865935,20.50304699634848
E05000060,Underhill,E09000003,Barnet,4550548.720000063,1990949.737078486,43.751860700405,1399026.9322197726,30.744136988819,70.26932454220068
