Ward,Old ward code,Ward name,Borough Code,Borough,Number of ways deficient to access to open space (%):0,Number of ways deficient to access to open space (%):1,Number of ways deficient to access to open space (%):2,Number of ways deficient to access to open space (%):3,Number of ways deficient to access to open space (%):4,,Number of ways deficient to access to public open space:0;IsGood,Number of ways deficient to access to public open space:1;R,Number of ways deficient to access to public open space:1;M,Number of ways deficient to access to public open space:1;D,Number of ways deficient to access to public open space:1;LSP,Number of ways deficient to access to public open space:2;D_R,Number of ways deficient to access to public open space:2;M_R,Number of ways deficient to access to public open space:2;LSP_R,Number of ways deficient to access to public open space:2;D_M,Number of ways deficient to access to public open space:2;LSP_D,Number of ways deficient to access to public open space:2;LSP_M,Number of ways deficient to access to public open space:3;D_M_R,Number of ways deficient to access to public open space:3;LSP_M_R,Number of ways deficient to access to public open space:3;LSP_D_R,Number of ways deficient to access to public open space:3;LSP_D_M,Number of ways deficient to access to public open space:4;LSP_D_M_R,Number of ways deficient to access to public open space:TOTAL
E05000026,00ABFX,Abbey,E09000002,Barking and Dagenham,0.3,86,12.6,1.1,0,,0.3,0,84,0,2,0,0,0.1,0,0,12.5,0,0.8,0,0.3,0,100
E05000027,00ABFY,Alibon,E09000002,Barking and Dagenham,0,15.7,66.5,17.8,0,,0,15.7,0,0,0,0,0,66.5,0,0,0,0,0,17.8,0,0,100
E05000028,00ABFZ,Becontree,E09000002,Barking and Dagenham,0,27.9,50.4,21.7,0,,0,27.9,0,0,0,14.6,0,35.8,0,0,0,0,0,21.7,0,0,100
E05000029,00ABGA,Chadwell Heath,E09000002,Barking and Dagenham,0,0,45.2,32.9,21.9,,0,0,0,0,0,45.2,0,0,0,0,0,28.9,0,4,0,21.9,100
E05000030,00ABGB,Eastbrook,E09000002,Barking and Dagenham,0,39.3,60.7,0,0,,0,39.3,0,0,0,0,0,60.7,0,0,0,0,0,0,0,0,100
E05000031,00ABGC,Eastbury,E09000002,Barking and Dagenham,0,6.2,50.2,42.5,1,,0,4.5,1.8,0,0,3.4,0.9,45.9,0,0,0,0,0.2,42.4,0,1,100
E05000032,00ABGD,Gascoigne,E09000002,Barking and Dagenham,0,5.3,29.8,54.7,10.2,,0,0,5.2,0,0,6.5,0.4,0.1,15.8,0,7,25.1,0.8,1.9,26.8,10.2,100
E05000033,00ABGE,Goresbrook,E09000002,Barking and Dagenham,0,39.3,56.7,4,0,,0,39.3,0,0,0,18.3,0,38.4,0,0,0,0,0,4,0,0,100
E05000034,00ABGF,Heath,E09000002,Barking and Dagenham,0,39.4,52.2,8.4,0.1,,0,39.4,0,0,0,1.4,0,50.8,0,0,0,0,0,8.4,0,0.1,100
E05000035,00ABGG,Longbridge,E09000002,Barking and Dagenham,5.4,21.7,72.3,0.6,0,,5.4,15.2,5.3,0,1.3,0,0,72.3,0,0,0,0,0,0.6,0,0,100
