Ward,Old ward code,Ward name,Borough Code,Borough,% homes with good access to all four types of public open space,% homes deficient in access to:;Regional Park,% homes deficient in access to:;Metropolitan Park,% homes deficient in access to:;District Park,"% homes deficient in access to:;Local, Small or Pocket Park"
E05000026,00ABFX,Abbey,E09000002,Barking and Dagenham,0.3,0.9,97.6,0.3,15.7
E05000027,00ABFY,Alibon,E09000002,Barking and Dagenham,0,100,0,17.8,84.3
E05000028,00ABFZ,Becontree,E09000002,Barking and Dagenham,0,100,0,36.4,57.5
E05000029,00ABGA,Chadwell Heath,E09000002,Barking and Dagenham,0,100,50.8,100,25.9
E05000030,00ABGB,Eastbrook,E09000002,Barking and Dagenham,0,100,0,0,60.7
E05000031,00ABGC,Eastbury,E09000002,Barking and Dagenham,0,98.2,3.8,46.8,89.5
E05000032,00ABGD,Gascoigne,E09000002,Barking and Dagenham,0,45.1,91.4,86.5,46.9
E05000033,00ABGE,Goresbrook,E09000002,Barking and Dagenham,0,100,0,22.3,42.4
E05000034,00ABGF,Heath,E09000002,Barking and Dagenham,0,100,0.1,9.9,59.3
E05000035,00ABGG,Longbridge,E09000002,Barking and Dagenham,5.4,88,5.3,0.6,74.1
E05000036,00ABGH,Mayesbrook,E09000002,Barking and Dagenham,0,100,0,0,57.7
E05000037,00ABGJ,Parsloes,E09000002,Barking and Dagenham,0,100,0,3.3,52.8
E05000038,00ABGK,River,E09000002,Barking and Dagenham,0,100,0,14.1,39.6
E05000039,00ABGL,Thames,E09000002,Barking and Dagenham,0,100,30.2,98,72.9
E05000040,00ABGM,Valence,E09000002,Barking and Dagenham,0,100,0,82.3,71.8
E05000041,00ABGN,Village,E09000002,Barking and Dagenham,0,100,0,0,23.4
E05000042,00ABGP,Whalebone,E09000002,Barking and Dagenham,0,100,25.8,73.8,92.5
E05000043,00ACFX,Brunswick Park,E09000003,Barnet,0.8,61.7,55.5,0.1,43.9
E05000044,00ACFY,Burnt Oak,E09000003,Barnet,0,100,56.6,92.9,27.1
E05000045,00ACFZ,Childs Hill,E09000003,Barnet,0,100,0,65.9,68.5
E05000046,00ACGA,Colindale,E09000003,Barnet,0,100,33.6,69.9,48.5
E05000047,00ACGB,Coppetts,E09000003,Barnet,0,40.7,34.1,89,69.1
E05000048,00ACGC,East Barnet,E09000003,Barnet,0,100,0,2.3,51.7
E05000049,00ACGD,East Finchley,E09000003,Barnet,2,95.9,11.9,92.6,72.8
E05000050,00ACGE,Edgware,E09000003,Barnet,0,100,100,62.1,71.7
E05000051,00ACGF,Finchley Church End,E09000003,Barnet,0,100,99.4,92.8,62.1
E05000052,00ACGG,Garden Suburb,E09000003,Barnet,0.1,99.9,0.1,33.1,30.8
E05000053,00ACGH,Golders Green,E09000003,Barnet,0,100,9.5,94.7,77.8
E05000054,00ACGJ,Hale,E09000003,Barnet,0,100,100,89.9,49.3
E05000055,00ACGK,Hendon,E09000003,Barnet,0,100,93.9,22,63.6
E05000056,00ACGL,High Barnet,E09000003,Barnet,0,100,54.1,27.4,53.7
E05000057,00ACGM,Mill Hill,E09000003,Barnet,0,100,100,40.5,68.9
E05000058,00ACGN,Oakleigh,E09000003,Barnet,0,100,60.8,31.2,78.6
E05000059,00ACGP,Totteridge,E09000003,Barnet,0,100,100,22.3,71.4
E05000060,00ACGQ,Underhill,E09000003,Barnet,0,100,100,5.8,33.6
E05000061,00ACGR,West Finchley,E09000003,Barnet,0,100,100,96.9,69.6
E05000062,00ACGS,West Hendon,E09000003,Barnet,0,100,34.7,62.5,48
E05000063,00ACGT,Woodhouse,E09000003,Barnet,0,100,98.6,89.2,68.6
E05000064,00ADGA,Barnehurst,E09000004,Bexley,0,100,5.8,73.4,47.3
E05000065,00ADGB,Belvedere,E09000004,Bexley,0,100,0,7.6,54.4
E05000066,00ADGC,Blackfen and Lamorbey,E09000004,Bexley,0,100,0,48,73.3
E05000067,00ADGD,Blendon and Penhill,E09000004,Bexley,0,100,0,30.5,46.9
E05000068,00ADGE,Brampton,E09000004,Bexley,0,100,0,62.2,63.6
E05000069,00ADGF,Christchurch,E09000004,Bexley,0,100,0,45.5,71.4
E05000070,00ADGG,Colyers,E09000004,Bexley,0,100,0.2,100,48.6
E05000071,00ADGH,Crayford,E09000004,Bexley,0,100,13.4,78.4,80.4
E05000072,00ADGJ,Cray Meadows,E09000004,Bexley,0,100,0,7.3,67.6
E05000073,00ADGK,Danson Park,E09000004,Bexley,0,100,0,0.5,48.4
E05000074,00ADGL,East Wickham,E09000004,Bexley,0,100,0,33.9,52
E05000075,00ADGM,Erith,E09000004,Bexley,0,100,0,93.5,36.1
E05000076,00ADGN,Falconwood and Welling,E09000004,Bexley,0,100,0,40,96.5
E05000077,00ADGP,Lesnes Abbey,E09000004,Bexley,0,100,0,3.6,32.4
E05000078,00ADGQ,Longlands,E09000004,Bexley,0,100,0,92.4,55.5
E05000079,00ADGR,North End,E09000004,Bexley,0,100,0,41.9,60
E05000080,00ADGS,Northumberland Heath,E09000004,Bexley,0,100,0,93.1,72.8
E05000081,00ADGT,St. Mary's,E09000004,Bexley,0,100,0,68.1,70.2
E05000082,00ADGU,St. Michael's,E09000004,Bexley,0,100,0,9.2,76.1
E05000083,00ADGW,Sidcup,E09000004,Bexley,0,100,0,70.2,52.8
E05000084,00ADGX,Thamesmead East,E09000004,Bexley,0,100,0.5,17,25.5
E05000085,00AEGJ,Alperton,E09000005,Brent,0,100,11.3,98.4,44.4
E05000086,00AEGK,Barnhill,E09000005,Brent,0,100,0,13,26.2
E05000087,00AEGL,Brondesbury Park,E09000005,Brent,0,100,58.8,100,72.5
E05000088,00AEGM,Dollis Hill,E09000005,Brent,0,100,75.2,2.2,52
E05000089,00AEGN,Dudden Hill,E09000005,Brent,0,100,62.8,16.3,43.4
E05000090,00AEGP,Fryent,E09000005,Brent,0,100,0.1,11.9,30.6
E05000091,00AEGQ,Harlesden,E09000005,Brent,0,100,17.1,100,68
E05000092,00AEGR,Kensal Green,E09000005,Brent,0,100,0,100,66.3
E05000093,00AEGS,Kenton,E09000005,Brent,0,100,0,41.8,47.4
E05000094,00AEGT,Kilburn,E09000005,Brent,0,100,11.2,100,43
E05000095,00AEGU,Mapesbury,E09000005,Brent,0,100,34.6,36.3,78.8
E05000096,00AEGW,Northwick Park,E09000005,Brent,0,100,6,0.5,27.6
E05000097,00AEGX,Preston,E09000005,Brent,0,100,0,37.2,45.1
E05000098,00AEGY,Queens Park,E09000005,Brent,0,100,13.1,100,51.6
E05000099,00AEGZ,Queensbury,E09000005,Brent,0,100,0,74.8,30.5
E05000100,00AEHA,Stonebridge,E09000005,Brent,0,100,70.5,100,16.7
E05000101,00AEHB,Sudbury,E09000005,Brent,0,100,0,4.8,27.1
E05000102,00AEHC,Tokyngton,E09000005,Brent,0,100,25.1,99.1,56.6
E05000103,00AEHD,Welsh Harp,E09000005,Brent,0,100,0.1,41.8,28.8
E05000104,00AEHE,Wembley Central,E09000005,Brent,0,100,0,85.3,71
E05000105,00AEHF,Willesden Green,E09000005,Brent,0,100,94.6,38,67.6
E05000106,00AFGD,Bickley,E09000006,Bromley,0,100,4,55.7,82.9
E05000107,00AFGE,Biggin Hill,E09000006,Bromley,0,100,100,100,88.6
E05000108,00AFGF,Bromley Common and Keston,E09000006,Bromley,0,100,0,35.4,41
E05000109,00AFGG,Bromley Town,E09000006,Bromley,0,100,0.3,66.5,76.8
E05000110,00AFGH,Chelsfield and Pratts Bottom,E09000006,Bromley,0,100,7.4,65.4,71
